date,platform,region,region_name,source_name,source_url,app_name,app_id,developer,category,is_rpg,release_date,url,first_seen_date
2026-07-29,android,tw,台湾,Google Play预注册游戏,https://play.google.com/store/apps/collection/promotion_3000000d51_pre_registration_games?gl=TW&hl=zh_TW,Storypick,com.com2us.storypick.android.google.global.normal.storypick12,Day7,冒險,True,,https://play.google.com/store/apps/details?id=com.com2us.storypick.android.google.global.normal.storypick12,2026-07-28
2026-07-29,android,tw,台湾,Google Play预注册游戏,https://play.google.com/store/apps/collection/promotion_3000000d51_pre_registration_games?gl=TW&hl=zh_TW,ARES: THE IRON VANGUARD,com.com2usholdings.agwiv.android.google.global.normal,Com2uS Holdings,角色扮演,True,,https://play.google.com/store/apps/details?id=com.com2usholdings.agwiv.android.google.global.normal,2026-07-28
2026-07-29,android,tw,台湾,Google Play预注册游戏,https://play.google.com/store/apps/collection/promotion_3000000d51_pre_registration_games?gl=TW&hl=zh_TW,Crash Cat : Zombie Survivor,com.cookapps.catsurvivor,CookApps,角色扮演,True,,https://play.google.com/store/apps/details?id=com.cookapps.catsurvivor,2026-07-28
2026-07-29,android,tw,台湾,Google Play预注册游戏,https://play.google.com/store/apps/collection/promotion_3000000d51_pre_registration_games?gl=TW&hl=zh_TW,星際亡命徒：肉鴿塔防,com.cookapps.towerroguedefense,CookApps,角色扮演,True,,https://play.google.com/store/apps/details?id=com.cookapps.towerroguedefense,2026-07-28
2026-07-29,android,tw,台湾,Google Play预注册游戏,https://play.google.com/store/apps/collection/promotion_3000000d51_pre_registration_games?gl=TW&hl=zh_TW,MAJO - 末日策略 RPG,com.darkwind.majo,DarkWind Ltd.,角色扮演,True,,https://play.google.com/store/apps/details?id=com.darkwind.majo,2026-07-28
2026-07-29,android,tw,台湾,Google Play预注册游戏,https://play.google.com/store/apps/collection/promotion_3000000d51_pre_registration_games?gl=TW&hl=zh_TW,王權：星途,com.devolver.reignsbeyond,DevolverDigital,,False,,https://play.google.com/store/apps/details?id=com.devolver.reignsbeyond,2026-07-28
2026-07-29,android,tw,台湾,Google Play游戏首页预注册,https://play.google.com/store/games?gl=TW&hl=zh_TW,Roblox,com.roblox.client,Roblox Corporation,角色扮演,True,,https://play.google.com/store/apps/details?id=com.roblox.client,2026-07-28
2026-07-29,android,tw,台湾,Google Play游戏首页预注册,https://play.google.com/store/games?gl=TW&hl=zh_TW,Garena® 三角洲行動,com.garena.game.df,Garena Mobile Private Limited,冒險,True,,https://play.google.com/store/apps/details?id=com.garena.game.df,2026-07-29
2026-07-29,android,tw,台湾,Google Play游戏首页预注册,https://play.google.com/store/games?gl=TW&hl=zh_TW,Free Fire: 9周年,com.dts.freefireth,GARENA INTERNATIONAL I,策略,False,,https://play.google.com/store/apps/details?id=com.dts.freefireth,2026-07-29
2026-07-29,android,tw,台湾,Google Play游戏首页预注册,https://play.google.com/store/games?gl=TW&hl=zh_TW,Pokémon Champions,jp.pokemon.pokemonchampions,The Pokémon Company,策略,True,,https://play.google.com/store/apps/details?id=jp.pokemon.pokemonchampions,2026-07-29
